"filename", "language", "JSON with Comments", "JSON", "Markdown", "HTML", "CSS", "TypeScript", "comment", "blank", "total"
"c:\WorkflowManager\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 14, 28
"c:\WorkflowManager\angular.json", "JSON", 0, 98, 0, 0, 0, 0, 0, 1, 99
"c:\WorkflowManager\package-lock.json", "JSON", 0, 15617, 0, 0, 0, 0, 0, 1, 15618
"c:\WorkflowManager\package.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 1, 44
"c:\WorkflowManager\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\WorkflowManager\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\WorkflowManager\src\app\approot\approot.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\WorkflowManager\src\app\approot\approot.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\WorkflowManager\src\app\approot\approot.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\WorkflowManager\src\app\approot\approot.component.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 3, 14
"c:\WorkflowManager\src\app\create-template\create-template.component.css", "CSS", 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\WorkflowManager\src\app\create-template\create-template.component.html", "HTML", 0, 0, 0, 42, 0, 0, 3, 0, 45
"c:\WorkflowManager\src\app\create-template\create-template.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\WorkflowManager\src\app\create-template\create-template.component.ts", "TypeScript", 0, 0, 0, 0, 0, 92, 3, 15, 110
"c:\WorkflowManager\src\app\endpointConstants.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 1, 5, 11
"c:\WorkflowManager\src\app\homepage\homepage.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\WorkflowManager\src\app\homepage\homepage.component.html", "HTML", 0, 0, 0, 7, 0, 0, 2, 0, 9
"c:\WorkflowManager\src\app\homepage\homepage.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\WorkflowManager\src\app\homepage\homepage.component.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 1, 6, 25
"c:\WorkflowManager\src\app\http-status-error-handler.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\WorkflowManager\src\app\http-status-error-handler.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 4, 11
"c:\WorkflowManager\src\app\template-interfaces.ts", "TypeScript", 0, 0, 0, 0, 0, 84, 1, 10, 95
"c:\WorkflowManager\src\app\template-view\template-view.component.css", "CSS", 0, 0, 0, 0, 105, 0, 0, 19, 124
"c:\WorkflowManager\src\app\template-view\template-view.component.html", "HTML", 0, 0, 0, 65, 0, 0, 2, 3, 70
"c:\WorkflowManager\src\app\template-view\template-view.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\WorkflowManager\src\app\template-view\template-view.component.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 11, 60
"c:\WorkflowManager\src\app\template.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 5, 17
"c:\WorkflowManager\src\app\template.service.ts", "TypeScript", 0, 0, 0, 0, 0, 103, 15, 13, 131
"c:\WorkflowManager\src\app\text-resize.directive.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\WorkflowManager\src\app\text-resize.directive.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 6, 19
"c:\WorkflowManager\src\index.html", "HTML", 0, 0, 0, 31, 0, 0, 1, 7, 39
"c:\WorkflowManager\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 1, 2, 8
"c:\WorkflowManager\src\styles.css", "CSS", 0, 0, 0, 0, 57, 0, 1, 8, 66
"c:\WorkflowManager\tsconfig.app.json", "JSON", 0, 13, 0, 0, 0, 0, 1, 1, 15
"c:\WorkflowManager\tsconfig.json", "JSON with Comments", 36, 0, 0, 0, 0, 0, 1, 0, 37
"c:\WorkflowManager\tsconfig.spec.json", "JSON", 0, 13, 0, 0, 0, 0, 1, 1, 15
"c:\WorkflowManager\typings.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 36, 15789, 14, 146, 173, 501, 34, 175, 16868